{ heapUsed: 179855232, heapTotal: 187494400, rss: 302362624, now: 1711316859923 }
{ heapUsed: 180080832, heapTotal: 187494400, rss: 302313472, now: 1711316864934 }
{ heapUsed: 179446208, heapTotal: 187494400, rss: 301461504, now: 1711316869937 }
{ heapUsed: 179707040, heapTotal: 187494400, rss: 301785088, now: 1711316874950 }
{ heapUsed: 179857056, heapTotal: 187494400, rss: 301379584, now: 1711316879951 }
{ heapUsed: 180059088, heapTotal: 187494400, rss: 301875200, now: 1711316884952 }
{ heapUsed: 180378680, heapTotal: 187494400, rss: 302067712, now: 1711316889958 }
{ heapUsed: 180571344, heapTotal: 187494400, rss: 302260224, now: 1711316894964 }
{ heapUsed: 179972976, heapTotal: 187494400, rss: 301867008, now: 1711316899972 }
{ heapUsed: 180186256, heapTotal: 187494400, rss: 301625344, now: 1711316904973 }
{ heapUsed: 180536184, heapTotal: 187494400, rss: 302108672, now: 1711316909980 }
{ heapUsed: 179929576, heapTotal: 186970112, rss: 271335424, now: 1711316914982 }
{ heapUsed: 180257632, heapTotal: 186970112, rss: 271638528, now: 1711316919983 }
{ heapUsed: 180424408, heapTotal: 186970112, rss: 271843328, now: 1711316924983 }
{ heapUsed: 180556296, heapTotal: 186970112, rss: 271462400, now: 1711316929995 }
{ heapUsed: 180732032, heapTotal: 186970112, rss: 271564800, now: 1711316935003 }
{ heapUsed: 181165720, heapTotal: 187232256, rss: 271847424, now: 1711316940007 }
{ heapUsed: 181664672, heapTotal: 187232256, rss: 272408576, now: 1711316945017 }
{ heapUsed: 181835296, heapTotal: 187232256, rss: 272523264, now: 1711316950021 }
{ heapUsed: 181160400, heapTotal: 187232256, rss: 271867904, now: 1711316955037 }
{ heapUsed: 181409768, heapTotal: 187232256, rss: 272015360, now: 1711316960038 }
{ heapUsed: 180742272, heapTotal: 187494400, rss: 271380480, now: 1711316965046 }
{ heapUsed: 180885528, heapTotal: 187494400, rss: 270835712, now: 1711316970052 }
{ heapUsed: 180264264, heapTotal: 187494400, rss: 270245888, now: 1711316975065 }
{ heapUsed: 180414904, heapTotal: 187494400, rss: 270426112, now: 1711316980078 }
