{ heapUsed: 104864552, heapTotal: 107540480, rss: 143675392, now: 1711316750442 }
{ heapUsed: 104964360, heapTotal: 107540480, rss: 143781888, now: 1711316755445 }
{ heapUsed: 105061384, heapTotal: 107540480, rss: 145113088, now: 1711316760445 }
{ heapUsed: 105222704, heapTotal: 107540480, rss: 144326656, now: 1711316765454 }
{ heapUsed: 105339720, heapTotal: 107540480, rss: 145252352, now: 1711316770463 }
{ heapUsed: 104464152, heapTotal: 107540480, rss: 144367616, now: 1711316775475 }
{ heapUsed: 104551848, heapTotal: 107540480, rss: 144461824, now: 1711316780483 }
{ heapUsed: 104618976, heapTotal: 107540480, rss: 144535552, now: 1711316785486 }
{ heapUsed: 104682416, heapTotal: 107540480, rss: 144596992, now: 1711316790487 }
{ heapUsed: 104794208, heapTotal: 107540480, rss: 144732160, now: 1711316795488 }
{ heapUsed: 104883064, heapTotal: 107540480, rss: 144822272, now: 1711316800492 }
{ heapUsed: 104970808, heapTotal: 107540480, rss: 144941056, now: 1711316805502 }
{ heapUsed: 105053720, heapTotal: 107540480, rss: 145031168, now: 1711316810512 }
{ heapUsed: 105115160, heapTotal: 107540480, rss: 145092608, now: 1711316815515 }
{ heapUsed: 105183280, heapTotal: 107540480, rss: 145162240, now: 1711316820519 }
{ heapUsed: 104504880, heapTotal: 109113344, rss: 145465344, now: 1711316825530 }
{ heapUsed: 104615496, heapTotal: 109113344, rss: 145580032, now: 1711316830542 }
{ heapUsed: 104724504, heapTotal: 109113344, rss: 145686528, now: 1711316835567 }
{ heapUsed: 104796664, heapTotal: 109113344, rss: 145756160, now: 1711316840579 }
{ heapUsed: 104899720, heapTotal: 109113344, rss: 146190336, now: 1711316845594 }
{ heapUsed: 104989928, heapTotal: 109113344, rss: 146276352, now: 1711316850608 }
{ heapUsed: 105125024, heapTotal: 109113344, rss: 146411520, now: 1711316855618 }
{ heapUsed: 105250608, heapTotal: 109113344, rss: 146538496, now: 1711316860632 }
{ heapUsed: 105405560, heapTotal: 109113344, rss: 146698240, now: 1711316865646 }
{ heapUsed: 104579384, heapTotal: 108064768, rss: 145760256, now: 1711316870648 }
{ heapUsed: 104720232, heapTotal: 108064768, rss: 145760256, now: 1711316875661 }
{ heapUsed: 104833072, heapTotal: 108064768, rss: 145760256, now: 1711316880662 }
{ heapUsed: 104983864, heapTotal: 108064768, rss: 145760256, now: 1711316885664 }
{ heapUsed: 105120536, heapTotal: 108064768, rss: 145764352, now: 1711316890667 }
{ heapUsed: 105211608, heapTotal: 108064768, rss: 145764352, now: 1711316895676 }
{ heapUsed: 104563760, heapTotal: 108064768, rss: 144920576, now: 1711316900681 }
{ heapUsed: 104677504, heapTotal: 108064768, rss: 145031168, now: 1711316905681 }
{ heapUsed: 104762856, heapTotal: 108064768, rss: 144277504, now: 1711316910693 }
{ heapUsed: 104883208, heapTotal: 108064768, rss: 126935040, now: 1711316915695 }
{ heapUsed: 105060128, heapTotal: 108064768, rss: 127238144, now: 1711316920695 }
{ heapUsed: 105142696, heapTotal: 108064768, rss: 127352832, now: 1711316925707 }
{ heapUsed: 105238680, heapTotal: 108064768, rss: 127451136, now: 1711316930708 }
{ heapUsed: 105337240, heapTotal: 108064768, rss: 127553536, now: 1711316935713 }
{ heapUsed: 105417192, heapTotal: 108064768, rss: 127635456, now: 1711316940718 }
{ heapUsed: 104643056, heapTotal: 108064768, rss: 126902272, now: 1711316945723 }
{ heapUsed: 104810552, heapTotal: 108064768, rss: 127078400, now: 1711316950735 }
{ heapUsed: 104897096, heapTotal: 108064768, rss: 127164416, now: 1711316955743 }
{ heapUsed: 105047968, heapTotal: 108064768, rss: 127315968, now: 1711316960745 }
{ heapUsed: 105189624, heapTotal: 108064768, rss: 127483904, now: 1711316965754 }
{ heapUsed: 105294496, heapTotal: 108064768, rss: 127590400, now: 1711316970758 }
{ heapUsed: 105361512, heapTotal: 108064768, rss: 127664128, now: 1711316975761 }
{ heapUsed: 105430048, heapTotal: 108064768, rss: 127541248, now: 1711316980773 }
{ heapUsed: 104640296, heapTotal: 108064768, rss: 126783488, now: 1711316985774 }
{ heapUsed: 104743184, heapTotal: 108064768, rss: 126889984, now: 1711316990775 }
{ heapUsed: 105194032, heapTotal: 108064768, rss: 127496192, now: 1711316995785 }
{ heapUsed: 105362392, heapTotal: 108064768, rss: 127668224, now: 1711317000798 }
{ heapUsed: 104697160, heapTotal: 108064768, rss: 127004672, now: 1711317005804 }
{ heapUsed: 104812704, heapTotal: 108064768, rss: 127131648, now: 1711317010806 }
{ heapUsed: 105182632, heapTotal: 108064768, rss: 127590400, now: 1711317015813 }
{ heapUsed: 105294432, heapTotal: 108064768, rss: 127721472, now: 1711317020816 }
{ heapUsed: 105438168, heapTotal: 108064768, rss: 127881216, now: 1711317025818 }
{ heapUsed: 105539176, heapTotal: 108064768, rss: 127995904, now: 1711317030828 }
{ heapUsed: 104825520, heapTotal: 108064768, rss: 127311872, now: 1711317035838 }
{ heapUsed: 104918016, heapTotal: 108064768, rss: 127410176, now: 1711317040841 }
{ heapUsed: 105042584, heapTotal: 108064768, rss: 127541248, now: 1711317045844 }
{ heapUsed: 105243520, heapTotal: 108064768, rss: 128147456, now: 1711317050856 }
{ heapUsed: 105352408, heapTotal: 108064768, rss: 128270336, now: 1711317055864 }
